Row;A. lactifloreus;B. unicolor;C. hamanako;C. hongkongiensis;C. simula;H. ijimai;L. longissimus;L. ruber;L. sanguineus;M. grossa;N. geniculatus;P. peregrina;R. occultus;T. polymorphus
conopeptide P-like superfamily;0;0;0;0;0;1;0;0;1;0;0;0;0;0
neurotoxin 02 (plectoxin) family. 02 (plectoxin) subfamily;0;0;0;0;0;0;1;0;0;0;0;0;0;0
neurotoxin 04 (omega-agtx) family. 02 (Tx1) subfamily;0;0;0;0;0;0;0;0;1;0;0;0;0;0
neurotoxin 10 (Hwtx-1) family. 15 (Hntx-3) subfamily;0;0;0;0;0;0;0;0;1;0;0;0;0;0
neurotoxin 20 family;0;0;1;1;1;0;0;0;0;0;0;0;0;0
actinoporin family. Conoidea subfamily;0;0;1;1;1;1;0;1;0;0;0;0;0;1
actinoporin family. Sea anemone subfamily;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MACPF domain;1;1;0;1;1;1;1;1;1;1;1;0;1;0
OMEGA_CONOTOXIN;0;0;0;0;0;0;0;1;1;0;0;0;1;0
5'- nucleotidase family;0;0;1;1;1;0;0;0;0;0;0;0;0;0
arthropod phospholipase D family. Class II subfamily. Class IIa sub-subfamily;0;0;0;0;0;1;0;1;1;0;1;0;0;1
arthropod phospholipase D family. Class II subfamily. Class IIb sub-subfamily;0;0;0;0;0;0;0;0;0;0;1;0;0;0
arthropod phospholipase D family. Class II subfamily;0;1;1;1;1;1;1;1;1;0;1;0;1;1
DNase II family;1;1;1;1;1;0;1;1;1;1;1;0;1;1
flavin monoamine oxidase family. FIG1 subfamily;0;1;0;1;1;0;1;1;1;0;1;0;1;0
GGT_peptidase domain;0;0;0;0;0;0;0;0;0;0;0;0;0;1
glutaminyl-peptide cyclotransferase family;0;0;0;0;0;0;0;0;0;0;0;0;0;1
glycosyl hydrolase 37 family;0;0;0;0;0;1;0;0;0;0;0;0;0;0
glycosyl hydrolase 56 family;1;0;0;1;1;0;0;0;0;1;1;1;0;0
multicopper oxidase family;0;0;0;0;0;0;1;0;0;0;0;0;0;0
natterin family;0;1;0;0;0;0;1;0;1;0;0;0;1;1
nucleotide pyrophosphatase/phosphodiesterase family;0;0;1;1;1;1;0;0;1;0;1;0;1;0
Peptidase M12A domain, Allrgn_V5/Tpx1_CS, CAP_domain;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Peptidase M12A domain;0;0;0;0;0;0;0;0;1;0;1;0;0;0
peptidase S1 family. Snake venom subfamily;0;0;0;0;1;0;0;0;0;0;0;0;0;0
phospholipase A2 family. Group I subfamily. D49 sub-subfamily;0;0;1;0;1;1;1;1;1;0;1;0;1;1
phospholipase A2 family. Group I subfamily;0;0;0;0;0;0;0;0;0;0;1;0;0;0
phospholipase A2 family. Group II subfamily. D49 sub-subfamily;0;1;0;0;0;1;0;0;0;0;1;0;0;1
phospholipase A2 family. Group III subfamily type-B carboxylesterase/lipase family;1;0;0;0;0;1;0;0;0;0;1;0;0;1
phospholipase A2 family. Group III subfamily;1;1;1;1;1;0;1;1;1;1;1;0;1;0
phospholipase A2 family;0;1;0;1;1;1;0;0;1;0;0;0;0;1
